"termine_inglese","italiano_preferito","dominio","trattamento","nota"
"catch someone out","cogliere qualcuno alla sprovvista","combattimento e avvertimenti","adattare","Sorprendere un pilota in una posizione vulnerabile o mentre non è preparato all'attacco"
"come through","farcela / portare a termine il compito","risultati e affidabilità","adattare","Produrre il risultato atteso in un momento decisivo"
"hard-fought victory","vittoria combattuta duramente","vittorie e riconoscimenti","tradurre","Vittoria ottenuta dopo uno scontro difficile e impegnativo"
"all but over","ormai praticamente finito","esiti e stato operativo","adattare","Condizione non ancora formalmente conclusa ma vicinissima al termine"
"pay off","dare i propri frutti","risultati e scansione","adattare","Produrre il risultato sperato dopo un investimento di tempo o risorse"
"once and for all","una volta per tutte","risoluzione e combattimento","adattare","Concludere definitivamente una minaccia o una situazione ricorrente"
"Sasha Rust","Sasha Rust","personaggi e lore","mantenere","Direttrice di Crusader Security; il prefisso vocale CSCHIEF01_F e le presentazioni complete ne attestano il genere femminile"
"Director Rust","Direttrice Rust","titoli e personaggi","tradurre","Titolo ricorrente di Sasha Rust; mantenere la maiuscola quando usato come appellativo personale"
"blockaded station","stazione sotto blocco","luoghi e interdizione","tradurre","Stazione isolata dal blocco dei Nine Tails; i nomi propri delle singole stazioni restano invariati"
"beleaguered station","stazione sotto assedio","luoghi e crisi","adattare","Stazione sottoposta da tempo a blocco e pressione nemica, con popolazione e rifornimenti in difficoltà"
"resupply","rifornire / rifornimento","logistica e missioni","contestuale","Ripristinare le scorte di una stazione o unità mediante consegne di beni essenziali"
"supply run","trasporto di rifornimenti","logistica e missioni","adattare","Viaggio operativo effettuato per consegnare rifornimenti a una destinazione isolata"
"quantum traffic","traffico quantico","navigazione e viabilità","tradurre","Flusso regolare delle navi che utilizzano il viaggio quantico nel settore"
"Bountiful Glen Station","Bountiful Glen Station","luoghi e orientamento","mantenere","Nome canonico della stazione Rest & Relax presso CRU-L5"
"high alert","allerta massima","sicurezza e comunicazioni pubbliche","tradurre","Stato ufficiale di emergenza con rischio elevato per il traffico civile"
"further announcements","ulteriori comunicazioni","comunicazioni pubbliche","tradurre","Aggiornamenti ufficiali che seguiranno quando saranno disponibili nuove informazioni"
"qualified mercenary forces","forze mercenarie qualificate","sicurezza e reclutamento","tradurre","Unità mercenarie dotate delle competenze richieste per assistere durante l'emergenza"
"trained security professionals","professionisti della sicurezza addestrati","sicurezza e reclutamento","tradurre","Personale civile o mercenario con addestramento adeguato a partecipare alle operazioni"
"viable intelligence","informazioni attendibili","intelligence e sicurezza","adattare","Informazioni considerate sufficientemente affidabili da giustificare un avviso operativo"
"show of force","dimostrazione di forza","minacce e operazioni","tradurre","Azione visibile e aggressiva destinata a mostrare capacità militare o intimidire"
"in the wind","in fuga / irreperibile","fuga e ricerca","adattare","Indica persone ricercate che sono sfuggite e potrebbero tornare ad agire"
"the board","il consiglio","aziende e gerarchia","tradurre","Organo dirigente aziendale al quale la Direttrice Rust deve riferire l'esito delle operazioni"
"end of shift","fine del turno","lavoro e rapporti","tradurre","Scadenza operativa entro cui presentare un rapporto o completare un compito"
"full report","rapporto completo","rapporti e comando","tradurre","Resoconto dettagliato richiesto al responsabile dell'operazione"
"data tech","tecnico dell'analisi dati","analisi e scansione","adattare","Specialista che elabora i dati raccolti dalle navi da scansione"
"narrow down","restringere il campo","ricerca e analisi","adattare","Ridurre progressivamente il numero di posizioni o origini possibili grazie ai dati disponibili"
"keep at it","continuare così","incoraggiamento e avanzamento","adattare","Invito a proseguire lo stesso lavoro fino al raggiungimento del risultato"
"lend a hand","dare una mano","aiuto e collaborazione","adattare","Fornire assistenza concreta a un'operazione o a una consegna"
"supply dropoff","consegna di rifornimenti","logistica e missioni","adattare","Deposito riuscito di rifornimenti presso la destinazione richiesta"
"go unnoticed","passare inosservato","riconoscimenti e risultati","adattare","Non ricevere riconoscimento o attenzione nonostante il lavoro svolto"
"stay the course","continuare su questa strada","incoraggiamento e perseveranza","adattare","Proseguire con costanza un'attività che sta producendo risultati positivi"
"debt of gratitude","debito di gratitudine","ringraziamenti e riconoscimenti","tradurre","Profonda riconoscenza dovuta a chi ha contribuito a risolvere una crisi"
"meet something head-on","affrontare qualcosa senza esitazioni","determinazione e minacce","adattare","Confrontarsi direttamente e con decisione con una sfida futura"
"scourge","flagello","minacce e comunicazioni pubbliche","adattare","Definizione solenne di una forza criminale che affligge la comunità"
"debrief","venire a rapporto / rapporto di persona","comando e rapporti","adattare","Resoconto operativo fornito direttamente al superiore dopo il rientro dalla missione"
"due compensation","compenso adeguato","compensi e riconoscimenti","tradurre","Pagamento commisurato al lavoro e ai rischi affrontati dai volontari"
"no easy feat","non essere un'impresa facile","risultati e difficoltà","adattare","Riconosce che il risultato ha richiesto notevole impegno e capacità"
"duly rewarded","ricevere una giusta ricompensa","compensi e riconoscimenti","adattare","Ottenere il riconoscimento economico meritato per il contributo fornito"
"data team","squadra di analisi dati","analisi e scansione","adattare","Gruppo tecnico incaricato di elaborare le scansioni e isolare la posizione del bersaglio"
"not a moment too soon","appena in tempo","urgenza e risultati","adattare","Risultato raggiunto al limite del tempo utile, prima che il ritardo causi conseguenze"
"offer to help","disponibilità ad aiutare","aiuto e collaborazione","adattare","Proposta di assistenza che può non essere più necessaria quando l'obiettivo è già completato"
"Server Offline","Server Fuori Servizio","sistemi e avvisi vocali","tradurre","Stato sintetico del server non operativo; mantenere le iniziali maiuscole nell'avviso corrispondente"
"Server Overheating","Server Surriscaldato","sistemi e avvisi vocali","tradurre","Avviso sintetico di temperatura eccessiva del server"
"Security Breach","Violazione della Sicurezza","sicurezza e avvisi vocali","tradurre","Rilevamento di un accesso non autorizzato; mantenere le iniziali maiuscole nell'avviso"
"Response Team","Squadra d'Intervento","sicurezza e avvisi vocali","tradurre","Unità inviata automaticamente in risposta a una violazione della sicurezza"
"irradiated pearl dust","polvere di perla irradiata","ricerca e materiali","tradurre","Polvere ricavata dalle perle e sottoposta a irradiazione per gli esperimenti sulle Ibrahim Sphere"
"entanglement","intreccio quantistico","ricerca e tecnologia quantistica","tradurre","Fenomeno di correlazione quantistica misurato negli esperimenti sulle Ibrahim Sphere"
"clinical","reparto clinico","ricerca e reparti","adattare","Uso ellittico del nome del reparto autorizzato ad avviare i test in vivo"
"statistically significant","statisticamente significativo","ricerca e analisi","tradurre","Risultato sostenuto da dati sufficienti a escludere ragionevolmente il caso"
"get something on record","mettere qualcosa agli atti","ricerca e responsabilità","adattare","Registrare formalmente un'osservazione affinché rimanga documentata"
"spare some credits","dare qualche credito / avere qualche credito","povertà e dialoghi ambientali","adattare","Richiesta informale di una piccola elemosina; formulare secondo il tono del profilo"
"sweetheart","tesoro","appellativi colloquiali","adattare","Appellativo affettuoso rivolto al giocatore; tesoro è utilizzabile senza attribuirgli un genere"
"love","tesoro","appellativi colloquiali","adattare","Appellativo affettuoso britannico; reso in forma naturale e neutra rispetto al genere del giocatore"
"fortune find you","che la fortuna ti accompagni","auguri e ringraziamenti","adattare","Augurio quasi benedicente rivolto a chi ha offerto dei crediti"
"safe journeys","buon viaggio","auguri e ringraziamenti","adattare","Commiato augurale rivolto a chi riparte dopo aver prestato aiuto"
"one of the good ones","una brava persona","ringraziamenti e giudizi","adattare","Elogio del carattere del giocatore; persona consente una formulazione naturale senza genere arbitrario"
"second wind","ritrovare le forze","stanchezza e ubriachezza","adattare","Ripresa improvvisa di energia; nel parlato ubriaco mantenere esitazioni e falsa partenza"
"no worries","nessun problema","risposte colloquiali","adattare","Formula breve che minimizza un rifiuto o una situazione spiacevole"
"screw you","fottiti","insulti colloquiali","adattare","Reazione offensiva ma breve di chi si sente ignorato"
"bomber","bombardiere","classi di navi e combattimento","tradurre","Velivolo o nave d'attacco destinata a infliggere gravi danni agli obiettivi difesi"
"hang on by a thread","essere appesi a un filo","pericolo e danni","adattare","Trovarsi a un passo dalla distruzione o dal fallimento completo"
"show someone a thing or two","far vedere chi comanda","combattimento e incoraggiamento","adattare","Dimostrare superiorità al nemico con un'azione efficace"
"a crack bit of flying","un pilotaggio eccellente","pilotaggio e complimenti","adattare","Elogio colloquiale di una manovra molto abile; la sorgente omette l'articolo iniziale"
"save someone's bacon","salvare il culo a qualcuno","salvataggio e gergo","adattare","Evitare conseguenze disastrose; il registro volgare si accorda con le altre imprecazioni del personaggio"
"straggler","superstite isolato","combattimento e rastrellamento","adattare","Nemico rimasto indietro o sopravvissuto dopo la fase principale dello scontro"
